mode,probe_id,probe_text,neighbor_id,cosine,neighbor_line,neighbor_text
lexical,input-01,私は最強だ。,raw-L02995,0.3846368410484323,2996,"アムロは最強だべ？
俺がいなければだがよ"
lexical,input-02,すでに時間切れだった。,raw-L15815,0.22961228539605327,15816,現代読みははぐるまだが本来ははしゃだった。お前らはより日本史を勉強するべき。
lexical,input-03,敵を瞬殺した。,raw-L03606,0.2075421550425462,3607,"今日俺のＨＰを荒らした馬鹿を殺した
タイマンだがギガトンパンチで瞬殺した"
lexical,input-04,私は動かないです。,raw-L09837,0.3575101783579255,9838,"早く謝ってください！ナイトには攻撃きかない！
僕は絶望的な戦いはしたくないです
必死に逃げてもとんずらされて後ろから切られたくないです！はやくあやまっテ！！"
lexical,input-05,存在感が桁外れだ。,raw-L13613,0.10427564543563157,13614,"ナイトが装備する最強武器はいろいろある
忍者ごときがｺﾞﾁｬｺﾞﾁｬ五月蝿いよ？
ナイトは忍者の人気を落とすような薄汚いマネはしないんだが汚いよな忍者は・・
自分の地位をまもるために何か必死杉で笑えるし
それに比べてナイトは忍者みたいに汚くないな
存在感が桁外れな存在感なのでたびたび人と
接触するけどこれも相手にされない雑魚の不可抵抗な妬み関係がほとんど
だがそう言うやつらも最期にはふれひすからな
ナイトは別格だという事を思い知らされる事件だったかな・・そいつはナイトの権力でＬＳの法律を乱すので削除されたらしい"
lexical,input-06,今日は寒い。,raw-L05970,0.907140322616854,5971,今日は休み
lexical,input-07,今日は寒いです。,raw-L05970,0.8128402671933672,5971,今日は休み
lexical,input-08,田中が佐藤を助けた。,raw-L02655,0.25274463003686687,2656,ロトさん助けて
lexical,input-09,田中がAを復旧した。Bは停止中で、私は明日確認する。,raw-L15989,0.14804148048583657,15990,"目の前で上級者の人達が激AAAを山積みにしている画面を見て俺は知ったんだよ。
その人達は激この子とかそういったレベルを遥かに越えている。

どうやってもあの人たちに追いつけるはずがない。
中には俺がクリアすらできない鬼FaXXをAAでクリアしている人もいる。

この人達の目の前でプレイすること自体恐れ入るものがあるが、
俺も最低限の努力として足9までは全て埋めようと100円玉を何枚も犠牲にした。
しかし叶わなかった。

そんな低レベルの人間があの人達の前でプレイして良いものかと考えた。
その結果、俺はもうこのゲームをプレイできる人間ではないと理解した。

そのくらいは普通考えるだろう。"
lexical,input-10,私は処理の速度をアピールしました。,raw-L15524,0.1338124598000251,15525,"なるほど
これで光は無実と証明されましたね
潔白美"
lexical,input-11,全員に助言したが、雰囲気は悪かった。,raw-L14686,0.324055486787046,14687,全員
lexical,input-12,私は怒りが頂点に達した。,raw-L08757,0.1649921289988107,8758,"感動した
バカな偽善白魔に鉄槌ありがとう（感涙）"
lexical,input-13,私はとても悲しかった。,raw-L15836,0.24560751981086582,15837,言われてみればそうかもしれなかった。一理ある。
lexical,input-14,資料は貴重です。,raw-L01213,0.40447532302942835,1214,童貞ですかぁ？
lexical,input-15,全然動かない。,raw-L05573,0.23308936723561235,5575,"ヴァサーゴ：超強力に最強。入手超困難。持ってると凄くうらやましがられる。

デモスラ：中途半端な性能。比較的お手軽に入手可能。持ってても全然凄いと思われない。

バーバリ：性能、入手条件はデモスラと同等。持ってても誰も気が付かない。"
lexical,input-16,それは確実だ。,raw-L01193,0.1669534914098158,1194,俺のは事実だから妄想とは言わないで現実だべ？
lexical,input-17,全員が速さとスピードを比較した。,raw-L01276,0.35848808444489416,1277,"本当は１０００キロ
マッハ音速のスピードだべ"
lexical,input-18,速度制限を確認した。,raw-L11537,0.1468717583554029,11538,"10分も考えて無い。１分で完成した。自分の信念があるから意見は瞬間で出るが？
ひまじゃないからずっと見てるわけじゃないというだけ
で？言いたい事はおわったか？"
lexical,input-19,私は明日確認するかもしれない。,raw-L06582,0.4318026263998903,6583,"グラットン狼鯖１１０万
どんどん値上がりしてる
明日には２００万越えるかもしれない"
lexical,input-20,私は確認しませんでした。,raw-L15101,0.23068353697479904,15102,ばかかこいつ【練習相手になりません】
lexical,input-21,田中は「私は全員に助言します」と言った。,raw-L14686,0.259374533072252,14687,全員
lexical,input-22,私は助言したと田中が言った。,raw-L02595,0.25924438451946086,2596,このスレはロトさんが言ったとおり馬鹿ばかりだな
lexical,input-23,私は100件の記録を確認した。,raw-L01315,0.31005363920897244,1316,ロトさんの限界は350＋650＝1000だべ？
lexical,input-24,私はAからBへ3個を渡した。,raw-L11537,0.1839491999132788,11538,"10分も考えて無い。１分で完成した。自分の信念があるから意見は瞬間で出るが？
ひまじゃないからずっと見てるわけじゃないというだけ
で？言いたい事はおわったか？"
lexical,input-25,確認してくれてありがとうございます。,raw-L08757,0.32185639176716035,8758,"感動した
バカな偽善白魔に鉄槌ありがとう（感涙）"
lexical,input-26,どうすればいいですか？,raw-L01229,0.3784474467026363,1230,初体験はいつですか？
lexical,input-27,もし全員が来れば確認する。,raw-L14686,0.4173127001879725,14687,全員
lexical,input-28,私立学校で雰囲気を調べた。,raw-L01210,0.16915116340589184,1211,不良だから学校さぼるべ？
lexical,input-29,田中がAを復旧した。,raw-L15989,0.17005685480505878,15990,"目の前で上級者の人達が激AAAを山積みにしている画面を見て俺は知ったんだよ。
その人達は激この子とかそういったレベルを遥かに越えている。

どうやってもあの人たちに追いつけるはずがない。
中には俺がクリアすらできない鬼FaXXをAAでクリアしている人もいる。

この人達の目の前でプレイすること自体恐れ入るものがあるが、
俺も最低限の努力として足9までは全て埋めようと100円玉を何枚も犠牲にした。
しかし叶わなかった。

そんな低レベルの人間があの人達の前でプレイして良いものかと考えた。
その結果、俺はもうこのゲームをプレイできる人間ではないと理解した。

そのくらいは普通考えるだろう。"
lexical,input-30,Bは停止中だ。,raw-L00051,0.20137137682963324,52,"雑魚扱いは嫌だな。
一応、これでも狩ってるんだ。
お前らごときにゃ、負けねぇよ"
lexical,input-31,私は明日確認する。,raw-L15836,0.10136063749564309,15837,言われてみればそうかもしれなかった。一理ある。
lexical,input-32,田中は佐藤を助けなかった。,raw-L15836,0.38593638509700395,15837,言われてみればそうかもしれなかった。一理ある。
lexical,input-33,担当者が100件の記録を確認した。,raw-L01315,0.287541768440414,1316,ロトさんの限界は350＋650＝1000だべ？
lexical,input-34,今日は雨が降っている。,raw-L05970,0.6429493253829012,5971,今日は休み
